Character,Hex,Type,Name,Braille
𒀀,12000,letter,DU2,⠙⠥⠆
𒉞,1225E,letter,NINDA2xshE+Ash+Ash,⠝⠊⠝⠙⠁⠆⠭⠩⠑⠬⠁⠩⠬⠁⠩
𒉠,12260,letter,NINDA2xUsh,⠝⠊⠝⠙⠁⠆⠭⠥⠩
𒉡,12261,letter,MURU2,⠍⠥⠗⠥⠆
𒉢,12262,letter,NU,⠝⠥
𒉣,12263,letter,shIR,⠩⠊⠗
𒉤,12264,letter,eridu,⠑⠗⠊⠙⠥
𒉥,12265,letter,NUNLAGARxGAR,⠝⠥⠝⠇⠁⠛⠜⠭⠛⠜
𒉦,12266,letter,NUNLAGARxMAsh,⠝⠥⠝⠇⠁⠛⠜⠭⠍⠁⠩
𒉧,12267,letter,NUNLAGARxSAL,⠝⠥⠝⠇⠁⠛⠜⠭⠎⠁⠇
𒉨,12268,letter,NUNLAGARxSAL/NUNLAGARxSAL,⠝⠥⠝⠇⠁⠛⠜⠭⠎⠁⠇⠌⠝⠥⠝⠇⠁⠛⠜⠭⠎⠁⠇
𒉩,12269,letter,NUNLAGARxUsh,⠝⠥⠝⠇⠁⠛⠜⠭⠥⠩
𒉪,1226A,letter,NUNtenu,⠝⠥⠝⠞⠑⠝⠥
𒉫,1226B,letter,NIR,⠝⠊⠗
𒉬,1226C,letter,NUNcrossingNUN,⠝⠥⠝⠉⠗⠕⠎⠎⠊⠝⠛⠝⠥⠝
𒉭,1226D,letter,NUNcrossingNUNLAGAR/LAGAR,⠝⠥⠝⠉⠗⠕⠎⠎⠊⠝⠛⠝⠥⠝⠇⠁⠛⠜⠌⠇⠁⠛⠜
𒉮,1226E,letter,NUNUZ,⠝⠥⠝⠥⠵
𒉯,1226F,letter,USAN3,⠥⠎⠁⠝⠒
𒉰,12270,letter,MUD3,⠍⠥⠙⠒
𒉱,12271,letter,NUNUZAB2xDUG,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠙⠥⠛
𒉲,12272,letter,NUNUZAB2xGUD,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠛⠥⠙
𒉳,12273,letter,NUNUZAB2xIGIgunu,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠊⠛⠊⠛⠥⠝⠥
𒉴,12274,letter,NUNUZAB2xKAD3,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠅⠁⠙⠒
𒉵,12275,letter,LAHTAN,⠇⠁⠓⠞⠁⠝
𒉶,12276,letter,NUNUZAB2xNE,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠝⠑
𒉷,12277,letter,LAHTAN2,⠇⠁⠓⠞⠁⠝⠆
𒉸,12278,letter,NUNUZAB2xU2,⠝⠥⠝⠥⠵⠁⠃⠆⠭⠥⠆
𒉟,1225F,letter,NINDA2xU2+Ash,⠝⠊⠝⠙⠁⠆⠭⠥⠆⠬⠁⠩
𒉝,1225D,letter,NINDA2xshE+Ash,⠝⠊⠝⠙⠁⠆⠭⠩⠑⠬⠁⠩
𒉺,1227A,letter,MUD3,⠍⠥⠙⠒
𒉜,1225C,letter,shAM2,⠩⠁⠍⠆
𒉃,12243,letter,NAGAxshUtenu,⠝⠁⠛⠁⠭⠩⠥⠞⠑⠝⠥
𒉄,12244,letter,NAGAopposingNAGA,⠝⠁⠛⠁⠕⠏⠏⠕⠎⠊⠝⠛⠝⠁⠛⠁
𒉅,12245,letter,ALLA,⠁⠇⠇⠁
𒉆,12246,letter,NAMNUTILLU,⠝⠁⠍⠝⠥⠞⠊⠇⠇⠥
𒉇,12247,letter,NAM,⠝⠁⠍
𒉈,12248,letter,NAM2,⠝⠁⠍⠆
𒉉,12249,letter,BI2,⠃⠊⠆
𒉊,1224A,letter,NExA,⠝⠑⠭⠁
𒉋,1224B,letter,NExUD,⠝⠑⠭⠥⠙
𒉌,1224C,letter,BIL,⠃⠊⠇
𒉍,1224D,letter,I3,⠊⠒
𒉎,1224E,letter,NIxE,⠝⠊⠭⠑
𒉏,1224F,letter,NI2,⠝⠊⠆
𒉐,12250,letter,NUM,⠝⠥⠍
𒉑,12251,letter,NIMxGAN2tenu,⠝⠊⠍⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒉒,12252,letter,NIMxGAR+GAN2tenu,⠝⠊⠍⠭⠛⠜⠬⠛⠁⠝⠆⠞⠑⠝⠥
𒉓,12253,letter,NINDA2,⠝⠊⠝⠙⠁⠆
𒉔,12254,letter,NINDA2xAN,⠝⠊⠝⠙⠁⠆⠭⠁⠝
𒉕,12255,letter,NINDA2xAsh,⠝⠊⠝⠙⠁⠆⠭⠁⠩
𒉖,12256,letter,NINDA2xAsh+Ash,⠝⠊⠝⠙⠁⠆⠭⠁⠩⠬⠁⠩
𒉗,12257,letter,NINDA2xGUD,⠝⠊⠝⠙⠁⠆⠭⠛⠥⠙
𒉘,12258,letter,NINDA2xME+GAN2tenu,⠝⠊⠝⠙⠁⠆⠭⠍⠑⠬⠛⠁⠝⠆⠞⠑⠝⠥
𒉙,12259,letter,AG,⠁⠛
𒉚,1225A,letter,AZU,⠁⠵⠥
𒉛,1225B,letter,NINDA2xshE,⠝⠊⠝⠙⠁⠆⠭⠩⠑
𒉹,12279,letter,MUD3,⠍⠥⠙⠒
𒉻,1227B,letter,GIDRU,⠛⠊⠙⠗⠥
𒀁,12001,letter,EDURU,⠑⠙⠥⠗⠥
𒊘,12298,letter,SAGxDU,⠎⠁⠛⠭⠙⠥
𒊚,1229A,letter,SAGxHA,⠎⠁⠛⠭⠓⠁
𒊛,1229B,letter,SAGxKAK,⠎⠁⠛⠭⠅⠁⠅
𒊜,1229C,letter,SAGxKUR,⠎⠁⠛⠭⠅⠥⠗
𒊝,1229D,letter,SAGxLUM,⠎⠁⠛⠭⠇⠥⠍
𒊞,1229E,letter,SAGxMI,⠎⠁⠛⠭⠍⠊
𒊟,1229F,letter,SAGxNUN,⠎⠁⠛⠭⠝⠥⠝
𒊠,122A0,letter,SAGxSAL,⠎⠁⠛⠭⠎⠁⠇
𒊡,122A1,letter,SAGxshID,⠎⠁⠛⠭⠩⠊⠙
𒊢,122A2,letter,SAGxTAB,⠎⠁⠛⠭⠞⠁⠃
𒊣,122A3,letter,SAGxU2,⠎⠁⠛⠭⠥⠆
𒊤,122A4,letter,SAGxUB,⠎⠁⠛⠭⠥⠃
𒊥,122A5,letter,SAGxUM,⠎⠁⠛⠭⠥⠍
𒊦,122A6,letter,SAGxUR,⠎⠁⠛⠭⠥⠗
𒊧,122A7,letter,SAGxUsh,⠎⠁⠛⠭⠥⠩
𒊨,122A8,letter,SAG/SAG,⠎⠁⠛⠌⠎⠁⠛
𒊩,122A9,letter,DUL3,⠙⠥⠇⠒
𒊪,122AA,letter,MI2,⠍⠊⠆
𒊫,122AB,letter,SALLAGABxAsh2,⠎⠁⠇⠇⠁⠛⠁⠃⠭⠁⠩⠆
