Character,Hex,Type,Name,Braille
𒀀,12000,letter,A,⠁
𒉝,1225D,letter,NINDA2 TIMES SHE PLUS ASH PLUS ASH,⠝⠊⠝⠙⠁⠡⠩⠑⠬⠁⠩⠬⠁⠩
𒉟,1225F,letter,NINDA2 TIMES USH,⠝⠊⠝⠙⠁⠡⠥⠩
𒉠,12260,letter,NISAG,⠝⠊⠎⠁⠛
𒉡,12261,letter,NU,⠝⠥
𒉢,12262,letter,NU11,⠝⠥⠂⠂
𒉣,12263,letter,NUN,⠝⠥⠝
𒉤,12264,letter,NUN LAGAR TIMES GAR,⠝⠥⠝ ⠇⠁⠛⠜⠡⠛⠜
𒉥,12265,letter,NUN LAGAR TIMES MASH,⠝⠥⠝ ⠇⠁⠛⠜⠡⠍⠁⠩
𒉦,12266,letter,NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇
𒉧,12267,letter,NUN LAGAR TIMES SAL OVER NUN LAGAR TIMES SAL,⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇⠌⠝⠥⠝ ⠇⠁⠛⠜⠡⠎⠁⠇
𒉨,12268,letter,NUN LAGAR TIMES USH,⠝⠥⠝ ⠇⠁⠛⠜⠡⠥⠩
𒉩,12269,letter,NUN TENU,⠝⠥⠝ ⠞⠑⠝⠥
𒉪,1226A,letter,NUN OVER NUN,⠝⠥⠝⠌⠝⠥⠝
𒉫,1226B,letter,NUN CROSSING NUN,⠝⠥⠝⠯⠝⠥⠝
𒉬,1226C,letter,NUN CROSSING NUN LAGAR OVER LAGAR,⠝⠥⠝⠯⠝⠥⠝ ⠇⠁⠛⠜⠌⠇⠁⠛⠜
𒉭,1226D,letter,NUNUZ,⠝⠥⠝⠥
𒉮,1226E,letter,NUNUZ AB2 TIMES ASHGAB,⠝⠥⠝⠥⠵ ⠁⠃⠡⠁⠩⠛⠁⠃
𒉯,1226F,letter,NUNUZ AB2 TIMES BI,⠝⠥⠝⠥⠵ ⠁⠃⠡⠃⠊
𒉰,12270,letter,NUNUZ AB2 TIMES DUG,⠝⠥⠝⠥⠵ ⠁⠃⠡⠙⠥⠛
𒉱,12271,letter,NUNUZ AB2 TIMES GUD,⠝⠥⠝⠥⠵ ⠁⠃⠡⠛⠥⠙
