Char,Hex,Type,Name,Braille
ጟ,U+131f +BE4Fsyllable ggwaa,letter,ggwa,
ጀ,U+1300D+BE30,letter,ja,⠚⠢
፩,U+1369 +BE99,letter,one,⠿⠁
፣,U+1363 +BE93,letter,comma,⠁
፤,U+1364 +BE94,letter,semicolon,⠲
፥,U+1365 +BE95,letter,colon,⠲⠒
፦,U+1366 +BE96,letter,preface colon,⠱
፧,U+1367 +BE97,letter,question mark,⠦
፨,U+1368 +BE98,letter,paragraph separator,⠶⠱
፪,U+136a +BE9A,letter,two,⠿⠃
፲,U+1372 +BEA2,letter,ten,⠿⠁⠚
፫,U+136b +BE9B,letter,three,⠿⠉
፬,U+136c +BE2C,letter,four,⠿⠙
፭,U+136d +BE9D,letter,five,⠿⠑
፮,U+136e +BE9E,letter,six,⠿⠋
፯,U+136f +BE9F,letter,seven,⠿⠛
፰,U+1370 +BEA0,letter,eight,⠿⠓
።,U+1362 +BE92,letter,full stop,⠲
፡,U+1361 +BE91,letter,wordspace, 
፠,U+1360 +BE90,letter,section mark,⠱
ፓ,U+1353 +BE83,letter,paa,⠏⠁
ፍ,U+134d +BE7D,letter,fe,⠋
ፎ,U+134e +BE7E,letter,fo,⠋⠕
ፏ,U+134f +BE7F,letter,fwa,⠋⠭
ፐ,U+1350 +BE80,letter,pa,⠏⠢
ፑ,U+1351 +BE81,letter,pu,⠏⠥
ፒ,U+1352 +BE82,letter,pi,⠏⠊
ፔ,U+1354 +BE84,letter,pee,⠏
፟,U+135f +BE8F,letter,combining gemination mark,
ፕ,U+1355 +BE85,letter,pe,⠏⠕
ፖ,U+1356 +BE86,letter,po,⠏⠽
ፗ,U+1357 +BE87,letter,pwa,⠗⠽⠢
ፘ,U+1358 +BE88,letter,rya,⠍⠽⠢
ፙ,U+1359 +BE89,letter,mya,⠋⠽⠢
ፚ,U+135a +BE8A,letter,fya,⠸
፱,U+1371 +BEA1,letter,nine,⠿⠊
፳,U+1373 +BEA3,letter,twenty,⠿⠃⠚
ፋ,U+134b +BE7B,letter,faa,⠋⠁
᎐,U+1390 +BF40,letter,yizet,⠌⠽
ᎊ,U+138a +BF3A,letter,fwee,⠌⠋⠺⠑
ᎋ,U+138b +BF3B,letter,fwe,⠌⠋⠺⠑
ᎌ,U+138c +BF3C,letter,sebatbeit pwa,⠌⠎⠏⠺⠁
ᎍ,U+138d +BF3D,letter,pwi/pwi,
ᎎ,U+138e +BF3E,letter,pwee,⠌⠏⠺⠑
ᎏ,U+138f +BF3F,letter,pwe,⠌⠏⠺⠊
