Character,Hex,Name,Braille
Ι,399,Capitol Iota,⠠⠊
Θ,398,Capitol Theta,⠠⠹
Η,397,Capitol Eta,⠠⠱
Ζ,396,Capitol Zeta,⠠⠵
Ε,395,Capitol Epsilon,⠠⠑
Δ,394,Capitol Delta,⠠⠙
Γ,393,Capitol Gamma,⠠⠛
Β,392,Capitol Beta,⠠⠃
Α,391,Capitol Alpha,⠠⠁
ΐ,390,iota with dialytika and oxia isolated,
·,387,greek semi-colon,
΅,385,dialytika and oxia,
΄,384,tonos,
ϩ,3000000000,COPTIC HORI,⠓
Ϩ,300000000,COPTIC CAPITAL HORI,⠲⠓
ϧ,30000000,COPTIC KHEI,⠡
Ϧ,3000000,COPTIC CAPITAL KHEI,⠲⠡
ϥ,300000,COPTIC FEI,⠫
Ϥ,30000,COPTIC CAPITAL FEI,⠲⠫
ϣ,3000,COPTIC SHEI,⠩
Ϣ,300,COPTIC CAPITAL SHEI,⠲⠩
ϡ,30,SAMPI,⠢⠮
Ϡ,3,SAMPI,⠢⠮
⸃,2E03,Right Substitution Bracket,⠻
⸂,2E02,Left Substitution Bracket,⠪
⸁,2E01,Right Angle Dotted Substitution Marker,⠻
⸀,2E00,Right Angle Substitution Marker,⠻
❧,2767,Check Marks end of transposition,⠱
❦,2766,Marks beginning of transposition,⠣⠣⠕⠱⠏⠜ ⠣⠌⠕⠱⠏⠜
❥,2765,Marks distinguishes between varient,⠜⠣⠕⠱⠏⠜ ⠣⠌⠕⠱⠏⠜
❚,275A,Mark indicates varrnt punctuation,⠉
❙,2759,Mark that indicates Alternative readings,⠞
❘,2758,Mark that separates variations,⠳
❑,2751,Mark that Distinguishes between Varient,⠟
❐,2750,Marks Replaced Word,⠗
❏,274F,Marks End of Omited word,⠕
❍,274D,Marks Omitted Word,⠕
❁,2741,Reference to LXX,⠇⠭⠭
✙,2719,  Marks end of Replaced text,⠾
✘,2718,Marks Varients with in Apparatus,⠔
✗,2717,Mark for  Insertion,⠊
✖,2716,Mark Ends of Replacement,⠺
✕,2715,Mark beginning of Replacement,⠗
✔,2714,Check Mark Distinguishes Same kind of Varient ,⠷
✓,2713,Check mark Ends Omission,⠪
⸆,2000000,raised interpolation marker,⠗⠍
ὸ,1FF8,omicron with Varia,⠪⠔
ῷ,1FF7,Omega with Perispomeni and Ypogegrammeni,⠸⠔
ῦ,1FE6,Upsilon with Perispomeni,⠧
ῆ,1FC6,Eta with Perispomeni,⠣
ὺ,1F7A,upsilon with varia,⠾⠔
ὶ,1F76,Iota with Varia,⠌
ὴ,1F74,eta with varia,⠮
ὲ,1F72,epsilon with varia,⠉
ὐ,1F50,Upsilon with Psili,⠴⠥
ἶ,1F3E,Capital Iota with Psili and Perispomeni,⠠⠴⠩
ἦ,1F26,Eta with Psili and Perispomeni,⠴⠣
ἐ,1F10,Epsilon with Psili,⠴
ἄ,1F0C,Capital Alpha with Psili and Oxia,⠠⠴⠜
ἀ,1F08,Capital Alpha with Psili,⠠⠴⠁
Ͽ,03FF,CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL,⠡⠡
Ͼ,03FE,CAPITAL DOTTED LUNATE SIGMA SYMBOL,⠡⠡
Ͻ,03FD,CAPITAL REVERSED LUNATE SIGMA SYMBOL,⠲⠡⠡
ϼ,03FC,RHO WITH STROKE SYMBOL,⠗
ϻ,03FB,SAN,⠎
Ϻ,03FA,CAPITAL SAN,⠲⠎
Ϲ,03F9,CAPITAL LUNATE SIGMA SYMBOL,⠡⠡
ϸ,03F8,SHO,⠎
Ϸ,03F7,CAPITAL SHO,⠎
϶,03F6,REVERSED LUNATE EPSILON SYMBOL,⠡⠡
ϵ,03F5,LUNATE EPSILON SYMBOL,⠑
ϴ,03F4,CAPITAL THETA SYMBOL,⠹
ϳ,03F3,YOT,⠽
ϲ,03F2,LUNATE SIGMA SYMBOL,⠑
ϱ,03F1,RHO SYMBOL,⠗
ϰ,03F0,KAPPA SYMBOL,⠅
ϯ,03EF,COPTIC DEI,⠳
Ϯ,03EE,COPTIC CAPITAL DEI,⠲⠳
ϭ,03ED,COPTIC SHIMA,⠣
Ϭ,03EC,COPTIC CAPITAL SHIMA,⠲⠣
ϫ,03EB,COPTIC GANGIA,⠚
Ϫ,03EA,COPTIC CAPITAL GANGIA,⠲⠚
ϟ,03DF,KOPPA,⠢⠟
Ϟ,03DE,KOPPA,⠢⠟
ϝ,03DD,DIGAMMA,⠢⠧
Ϝ,03DC,DIGAMMA,⠢⠧
ϛ,03DB,STIGMA,⠢⠧
Ϛ,03DA,STIGMA,⠢⠧
ϙ,03D9,ARCHAIC KOPPA,⠢⠟
Ϙ,03D8,ARCHAIC KOPPA,⠢⠟
ϗ,03D7,KAI SYMBOL,⠯
ϖ,03D6,PI SYMBOL,⠏
ϕ,03D5,PHI SYMBOL,⠋
ϔ,03D4,UPSILON WITH DIAERESIS AND HOOK SYMBOL,⠥
ϓ,03D3,UPSILON WITH ACUTE AND HOOK SYMBOL,
ϒ,03D2,UPSILON WITH HOOK SYMBOL,
ϑ,03D1,THETA SYMBOL,
ϐ,03D0,BETA SYMBOL,
Ϗ,03CF,CAPITAL KAI SYMBOL,
ῴ,03CE+0345,omega with oxia,⠚⠔
ώ,03CE,omega with oxia,⠚
ύͅ,03CD+0345,upsilon with oxia,⠳⠔
ύ,03CD,upsilon with oxia,⠳
όͅ,03CC+0345,omnichron with oxia,⠪⠔
ό,03CC,omicron with oxia,⠪
ϋͅ,03CB+0345,upsilon with dialytika isolated,⠥⠔
ῧͅ,03CB+0342+0345,upsilon with dialytika and perispomenia isolated,⠧⠔
ῧ,03CB+0342,upsilon with dialytika and perispomenia isolated,⠧
ΰͅ,03CB+0301+0345,upsilon with dialytika and oxia isolated,⠳⠔
ΰ,03CB+0301,upsilon with dialytika and oxia isolated,⠳
ῢͅ,03CB+0300+0345,upsilon with dialytika and varia isolated,⠾⠔
ῢ,03CB+0300,upsilon with dialytika and varia isolated,⠾
ϋ,03CB,upsilon with dialytika isolated,⠥
ϊͅ,03CA+0345,iota with dialytikaa isolated,⠊⠔
ῗͅ,03CA+0342+0345,iota with dialytika and perispomenia isolated,⠩⠔
ῗ,03CA+0342,iota with dialytika and perispomenia isolated,⠩
ΐͅ,03CA+0301+0345,iota with dialytika and oxia isolated,⠔
ΐ,03CA+0301,iota with dialytika and oxia isolated,
ῒͅ,03CA+0300+0345,iota with dialytika and varia isolated,⠌⠔
ῒ,03CA+0300,iota with dialytika and varia isolated,⠌
ϊ,03CA,iota with dialytikaa isolated,⠊
ῳ,03C9+0345,omega,⠺⠔
ῷ,03C9+0342+0345,omega with perispomeni,⠸⠔
ῶ,03C9+0342,omega with perispomeni,⠸
ᾡ,03C9+0314+0345,omega with dasia,⠓⠺⠔
ᾧ,03C9+0314+0342+0345,omega with dasia and perispomeni,⠓⠸⠔
ὧ,03C9+0314+0342,omega with dasia and perispomeni,⠓⠸
ᾥ,03C9+0314+0301+0345,omega with dasia and oxia,⠓⠚⠔
ὥ,03C9+0314+0301,omega with dasia and oxia,⠓⠚
ᾣ,03C9+0314+0300+0345,omega with dasia and varia,⠓⠟⠔
ὣ,03C9+0314+0300,omega with dasia and varia,⠓⠟
ὡ,03C9+0314,omega with dasia,⠓⠺
ᾠ,03C9+0313+0345,omega with psili,⠴⠺⠔
ᾦ,03C9+0313+0342+0345,omega with psili and perispomeni,⠴⠸⠔
ὦ,03C9+0313+0342,omega with psili and perispomeni,⠴⠸
ᾤ,03C9+0313+0301+0345,omega with psili and oxia,⠴⠚⠔
ὤ,03C9+0313+0301,omega with psili and oxia,⠴⠚
ᾢ,03C9+0313+0300+0345,omega with psili and varia,⠴⠟⠔
ὢ,03C9+0313+0300,omega with psili and varia,⠴⠟
ὠ,03C9+0313,omega with psili,⠴⠺
ῴ,03C9+0301+0345,omega with oxia,⠚⠔
ώ,03C9+0301,omega with oxia,⠚
ῲ,03C9+0300+0345,omega with varia,⠟⠔
ὼ,03C9+0300,omega with varia,⠟
ω,03C9,omega,⠺
ψ,03C8,psi,⠽
χ,03C7,chi,⠯
φ,03C6,phi,⠋
υεͅ,03C5+03b9+0345,upsilon iota,⠥⠊⠔
υε͂ͅ,03C5+03b9+0342+0345,upsilon iota,⠥⠩⠔
υε͂,03C5+03b9+0342,upsilon iota,⠥⠩
υἑͅ,03C5+03b9+0314+0345,upsilon iota,⠓⠥⠊⠔
υἑ͂ͅ,03C5+03b9+0314+0342+0345,upsilon iota,⠓⠥⠩⠔
υἑ͂,03C5+03b9+0314+0342,upsilon iota,⠓⠥⠩
υἕͅ,03C5+03b9+0314+0301+0345,upsilon iota,⠓⠥⠔
υἕ,03C5+03b9+0314+0301,upsilon iota,⠓⠥
υἓͅ,03C5+03b9+0314+0300+0345,upsilon iota,⠓⠥⠌⠔
