Character,Hex,Type,Name,Braille
ܪ݂,072A+0742,always,RISH and RUKKAKHA,⠗⠄
ܕ݂,0715+0742,always,DALATH and RUKKAKHA,⠙⠄
ܖ݂,0716+0742,always,DOTLESS DALATH RISH and RUKKAKHA,⠢⠙⠄
ܗ݁,0717+0741,always,HE and QUSHSHAYA,⠓⠂
ܗ݂,0717+0742,always,HE and RUKKAKHA,⠓⠄
ܣ݂,0723+0742,always,SEMKATH and RUKKAKHA,⠎⠄
ܘ݁,0718+0741,always,WAW and QUSHSHAYA,⠺⠂
ܘ݂,0718+0742,always,WAW and RUKKAKHA,⠺⠄
ܣ݁,0723+0741,always,SEMKATH and QUSHSHAYA,⠎⠂
ܙ݁,0719+0741,always,ZAIN and QUSHSHAYA,⠵⠂
ܙ݂,0719+0742,always,ZAIN and RUKKAKHA,⠵⠄
ܚ݁,071A+0741,always,HETH and QUSHSHAYA,⠭⠂
ܚ݂,071A+0742,always,HETH and RUKKAKHA,⠭⠄
ܫ݂,072B+0742,always,SHIN and RUKKAKHA,⠩⠄
ܛ݁,071B+0741,always,TETH and QUSHSHAYA,⠞⠂
ܛ݂,071B+0742,always,TETH and RUKKAKHA,⠞⠄
ܢ݂,0722+0742,always,NUN and RUKKAKHA,⠝⠄
ܜ݁,071C+0741,always,TETH GARSHUNI and QUSHSHAYA,⠢⠞⠂
ܜ݂,071C+0742,always,TETH GARSHUNI and RUKKAKHA,⠢⠞⠄
ܢ݁,0722+0741,always,NUN and QUSHSHAYA,⠝⠂
ܝ݁,071D+0741,always,YUDH and QUSHSHAYA,⠚⠂
ܝ݂,071D+0742,always,YUDH and RUKKAKHA,⠚⠄
ܞ݁,071E+0741,always,YUDH HE and QUSHSHAYA,⠚⠓⠂
ܞ݂,071E+0742,always,YUDH HE and RUKKAKHA,⠚⠓⠄
ܡ݂,0721+0742,always,MIM and RUKKAKHA,⠍⠄
ܟ݁,071F+0741,always,KAPH and QUSHSHAYA,⠅⠂
ܟ݂,071F+0742,always,KAPH and RUKKAKHA,⠅⠄⠄
ܡ݁,0721+0741,always,MIM and QUSHSHAYA,⠍⠂
ܠ݁,0720+0741,always,LAMADH and QUSHSHAYA,⠇⠂
