Character(decimal),Hex,Type,Name,Braille
𐎀,10380,letter,ALPA,⠁
𐎐,10390,letter,NUN,⠝
𐎝,1039D,letter,SSU,⠎⠳
𐎜,1039C,letter,U,⠥
𐎛,1039B,letter,I,⠊
𐎚,1039A,letter,TO,⠞
𐎙,10399,letter,GHAIN,⠘⠌⠛
𐎘,10398,letter,THANNA,⠹
𐎗,10397,letter,RASHA,⠗
𐎖,10396,letter,QOPA,⠟
𐎕,10395,letter,SADE,⠐⠎
𐎔,10394,letter,PU,⠏
𐎓,10393,letter,AIN,⠫
𐎒,10392,letter,SAMKA,⠯
𐎑,10391,letter,ZU,⠐⠵
𐎏,1038F,letter,DHAL,⠰⠙
𐎁,10381,letter,BETA,⠃
𐎎,1038E,letter,MEM,⠍
𐎍,1038D,letter,LAMDA,⠇
𐎌,1038C,letter,SHIN,⠩
𐎋,1038B,letter,KAF,⠅
𐎊,1038A,letter,YOD,⠽
𐎉,10389,letter,TET,⠐⠞
𐎈,10388,letter,HOTA,⠭
𐎇,10387,letter,ZETA,⠵
𐎆,10386,letter,WO,⠺
𐎅,10385,letter,HO,⠓
𐎄,10384,letter,DELTA,⠙
𐎃,10383,letter,KHA,⠡
𐎂,10382,letter,GAMLA,⠛
𐎟,1039F,punctuation,WORD DIVIDER,⠤
