Character,Hex,Logic,Type,Name,Braille
בִּ,05D1+05B4+05BC,8.0,always,bet  dagesh with hiriq,⠃⠊
בֵּ,05D1+05B5+05BC,8.0,always,bet  dagesh with tsere,⠃⠌
בֶּ,05D1+05B6+05BC,8.0,always,bet  dagesh with segol,⠃⠑
בַּ,05D1+05B7+05BC,8.0,always,bet  dagesh with patah,⠃⠉
בָּ,05D1+05B8+05BC,8.0,always,bet dagesh qamats,⠃⠣
בֱּ,05D1+05B1+05BC,8.0,always,bet dagesh  hataf segol,⠃⠢
בֲּ,05D1+05B2+05BC,8.0,always,bet dagesh  hataf patah,⠃⠒
בֳּ,05D1+05B3+05BC,8.0,always,bet dagesh  hataf qamats,⠃⠜
דִּ,05D3+05B4+05BC,186.0,always,dalet  dagesh with hiriq,⠐⠙⠊
דֵּ,05D3+05B5+05BC,186.0,always,dalet  dagesh with tsere,⠐⠙⠌
דֶּ,05D3+05B6+05BC,186.0,always,dalet  dagesh with segol,⠐⠙⠑
דַּ,05D3+05B7+05BC,186.0,always,dalet  dagesh with patah,⠐⠙⠉
דָּ,05D3+05B8+05BC,186.0,always,dalet dagesh  qamats,⠐⠙⠣
דֱּ,05D3+05B1+05BC,186.0,always,dalet dagesh  hataf segol,⠐⠙⠢
דֲּ,05D3+05B2+05BC,186.0,always,dalet dagesh  hataf patah,⠐⠙⠒⠒
דֳּ,05D3+05B3+05BC,186.0,always,dalet dagesh  hataf qamats,⠐⠙⠜
כִּ,05DB+05B4+05BC,8.0,always,kaf  dagesh with hiriq,⠅⠊
כֵּ,05DB+05B5+05BC,8.0,always,kaf  dagesh with tsere,⠅⠌
כֶּ,05DB+05B6+05BC,8.0,always,kaf  dagesh with segol,⠅⠑
כַּ,05DB+05B7+05BC,8.0,always,kaf  dagesh with patah,⠅⠉
כָּ,05DB+05B8+05BC,8.0,always,kaf dagesh  qamats,⠅⠣
כֱּ,05DB+05B1+05BC,8.0,always,kaf dagesh  hataf segol,⠅⠢
כֲּ,05DB+05BC,8.0,always,kaf dagesh  hataf patah,⠅⠒
כֳּ,05DB+05B3+05BC,8.0,always,kaf dagesh  hataf qamats,⠅⠜
לִּ,05DC+05B4+05BC,186.0,always,letter lamed  dagesh with hiriq,⠐⠇⠊
לֵּ,05DC+05B5+05BC,186.0,always,letter lamed  dagesh with tsere,⠐⠇⠌
לֶּ,05DC+05B6+05BC,186.0,always,letter lamed  dagesh with segol,⠐⠇⠑
לַּ,05DC+05B7+05BC,186.0,always,letter lamed  dagesh with patah,⠐⠇⠉
לָּ,05DC+05B8+05BC,186.0,always,letter lamed dagesh  qamats,⠐⠇⠣
לֱּ,05DC+05B1+05BC,186.0,always,letter lamed dagesh  hataf segol,⠐⠇⠢
לֲּ,05DC+05B2+05BC,186.0,always,letter lamed dagesh  hataf patah,⠐⠇⠒
לֳּ,05DC+05B3+05BC,186.0,always,letter lamed dagesh  hataf qamats,⠐⠇⠜
מִּ,05DE+05B4+05BC,186.0,always,letter mem  dagesh with hiriq,⠐⠍
מֵּ,05DE+05B5+05BC,186.0,always,letter mem  dagesh with tsere,⠐⠍⠌
מֶּ,05DE+05B6+05BC,186.0,always,letter mem  dagesh with segol,⠐⠍⠑
מַּ,05DE+05B7+05BC,186.0,always,letter mem  dagesh with patah,⠐⠍⠉
מָּ,05DE+05B8+05BC,186.0,always,mem dagesh  qamats,⠐⠍⠣
מֱּ,05DE+05B1+05BC,186.0,always,mem dagesh  hataf segol,⠐⠍⠢
מֲּ,05DE+05B2+05BC,186.0,always,mem dagesh  hataf patah,⠐⠍⠒
מֳּ,05DE+05B3+05BC,186.0,always,mem dagesh  hataf qamats,⠐⠍⠜
נִּ,05E0+05B4+05BC,186.0,always,letter nun  dagesh with hiriq,⠐⠝⠊
נֵּ,05E0+05B5+05BC,186.0,always,letter nun  dagesh with tsere,⠐⠝⠌
נֶּ,05E0+05B6+05BC,186.0,always,letter nun  dagesh with segol,⠐⠝⠑
נַּ,05E0+05B7+05BC,186.0,always,letter nun  dagesh with patah,⠐⠝⠉
נָּ,05E0+05B8+05BC,186.0,always,letter nun dagesh  qamats,⠐⠝⠣
