Character,Hex,Logic,Type,Name,Braille
𒀀,12000,839,letter,DU2,⠙⠥⠆
𒀁,12001,845,letter,EDURU,⠑⠙⠥⠗⠥
𒀂,12002,840,letter,AGAM,⠁⠛⠁⠍
𒀃,12003,238,letter,AxGAN2tenu,⠁⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒀄,12004,238,letter,ZAH3,⠵⠁⠓⠒
𒀅,12005,238,letter,IR,⠊⠗
𒀆,12006,843,letter,AxLAGARgunu,⠁⠭⠇⠁⠛⠜⠛⠥⠝⠥
𒀇,12007,842,letter,AxMUsh,⠁⠭⠍⠥⠩
𒀈,12008,238,letter,AxSAG,⠁⠭⠎⠁⠛
𒀉,12009,ED,letter,ED,⠑⠙
𒀊,1200A,238,letter,ABBA,⠁⠃⠃⠁
𒀋,1200B,238,letter,ABxAsh2,⠁⠃⠭⠁⠩⠆
𒀌,1200C,238,letter,ABxDUN3gunu,⠁⠃⠭⠙⠥⠝⠒⠛⠥⠝⠥
𒀍,1200D,238,letter,IRIGAL,⠊⠗⠊⠛⠁⠇
𒀎,1200E,238,letter,ABxGAN2tenu,⠁⠃⠭⠛⠁⠝⠆⠞⠑⠝⠥
𒀏,1200F,238,letter,NINA,⠝⠊⠝⠁
𒀐,12010,238,letter,ABxIGIgunu,⠁⠃⠭⠊⠛⠊⠛⠥⠝⠥
𒀑,12011,238,letter,ABxIMIN,⠁⠃⠭⠊⠍⠊⠝
𒀒,12012,238,letter,ABxLAGAB,⠁⠃⠭⠇⠁⠛⠁⠃
𒀓,12013,238,letter,ABxshEsh,⠁⠃⠭⠩⠑⠩
𒀔,12014,238,letter,UNUG,⠥⠝⠥⠛
𒀕,12015,238,letter,ABgunu,⠁⠃⠛⠥⠝⠥
𒀖,12016,672,letter,LID,⠇⠊⠙
𒀗,12017,238,letter,LILIZ,⠇⠊⠇⠊⠵
𒀘,12018,238,letter,KIR6,⠅⠊⠗⠖
𒀙,12019,238,letter,AB2xME+EN,⠁⠃⠆⠭⠍⠑⠬⠑⠝
𒀚,1201A,238,letter,LIBIsh,⠇⠊⠃⠊⠩
𒀛,1201B,238,letter,AB2xTAK4,⠁⠃⠆⠭⠞⠁⠅⠲
𒀜,1201C,238,letter,ADDA,⠁⠙⠙⠁
𒀝,1201D,238,letter,AG,⠁⠛
𒀞,1201E,238,letter,ME3,⠍⠑⠒
𒀟,1201F,238,letter,AKxshITA+GIsh,⠁⠅⠭⠩⠊⠞⠁⠬⠛⠊⠩
𒀠,12020,238,letter,AL,⠁⠇
𒀡,12021,238,letter,ALxAL,⠁⠇⠭⠁⠇
𒀢,12022,238,letter,ALxDIM2,⠁⠇⠭⠙⠊⠍⠆
𒀣,12023,238,letter,ALxGIsh,⠁⠇⠭⠛⠊⠩
𒀤,12024,238,letter,ALxHA,⠁⠇⠭⠓⠁
𒀥,12025,238,letter,ALxKAD3,⠁⠇⠭⠅⠁⠙⠒
𒀦,12026,238,letter,ALxKI,⠁⠇⠭⠅⠊
𒀧,12027,238,letter,IL,⠊⠇
𒀨,12028,238,letter,ALxUsh,⠁⠇⠭⠥⠩
𒀩,12029,238,letter,ALAN,⠁⠇⠁⠝
𒀫,1202B,238,letter,ZUR,⠵⠥⠗
𒀬,1202C,238,letter,SISKUR,⠎⠊⠎⠅⠥⠗
𒀭,1202D,238,letter,AN,⠁⠝
𒀮,1202E,238,letter,AN/AN,⠁⠝⠌⠁⠝
𒀯,1202F,238,letter,MUL,⠍⠥⠇
𒀰,12030,238,letter,AN+NAGAopposingAN+NAGA,⠁⠝⠬⠝⠁⠛⠁⠕⠏⠏⠕⠎⠊⠝⠛⠁⠝⠬⠝⠁⠛⠁
𒀱,12031,238,letter,DNAGA,⠙⠝⠁⠛⠁
𒀲,12032,238,letter,donkey,⠙⠕⠝⠅⠑⠽
𒀳,12033,238,letter,ABSIN,⠁⠃⠎⠊⠝
𒀴,12034,238,letter,ARAD,⠜⠁⠙
𒀵,12035,238,letter,ARADxKUR,⠜⠁⠙⠭⠅⠥⠗
𒀶,12036,238,letter,NIG2,⠝⠊⠛⠆
𒀷,12037,238,letter,ASAL2,⠁⠎⠁⠇⠆
𒀸,12038,238,letter,DILI,⠙⠊⠇⠊
𒀹,12039,575,letter,DIshtenu,⠙⠊⠩⠞⠑⠝⠥
𒀺,1203A,238,letter,AshKABAtenu,⠁⠩⠅⠁⠃⠁⠞⠑⠝⠥
𒀻,1203B,238,letter,AshTUG2/TUG2,⠁⠩⠞⠥⠛⠆⠌⠞⠥⠛⠆
𒀼,1203C,238,letter,Esh16,⠑⠩⠂⠖
𒀽,1203D,238,letter,shUshUR2,⠩⠥⠩⠥⠗⠆
𒀾,1203E,238,letter,Ash2,⠁⠩⠆
𒀿,1203F,238,letter,AshGAB,⠁⠩⠛⠁⠃
𒁀,12040,238,letter,porridge,⠏⠕⠗⠗⠊⠙⠛⠑
𒁁,12041,238,letter,BAD,⠃⠁⠙
𒁂,12042,238,letter,BAG3,⠃⠁⠛⠒
𒁃,12043,238,letter,BAHAR2,⠃⠁⠓⠜⠆
𒁄,12044,238,letter,BAL,⠃⠁⠇
𒁅,12045,238,letter,BAL/BAL,⠃⠁⠇⠌⠃⠁⠇
𒁆,12046,238,letter,DUB2,⠙⠥⠃⠆
𒁇,12047,238,letter,BAR,⠃⠜
𒁈,12048,238,letter,BARAG,⠃⠜⠁⠛
𒁉,12049,238,letter,BE2,⠃⠑⠆
𒁊,1204A,238,letter,BIxA,⠃⠊⠭⠁
𒁋,1204B,238,letter,BIxGAR,⠃⠊⠭⠛⠜
𒁌,1204C,238,letter,BIxIGIgunu,⠃⠊⠭⠊⠛⠊⠛⠥⠝⠥
𒁍,1204D,238,letter,GID2,⠛⠊⠙⠆
𒁎,1204E,238,letter,BU/BUAB,⠃⠥⠌⠃⠥⠁⠃
𒁏,1204F,238,letter,BU/BUUN,⠃⠥⠌⠃⠥⠥⠝
𒁐,12050,238,letter,BUcrossingBU,⠃⠥⠉⠗⠕⠎⠎⠊⠝⠛⠃⠥
𒁑,12051,238,letter,BULUG,⠃⠥⠇⠥⠛
𒁒,12052,238,letter,BULUG/BULUG,⠃⠥⠇⠥⠛⠌⠃⠥⠇⠥⠛
𒁓,12053,559,letter,NIG2gunu,⠝⠊⠛⠆⠛⠥⠝⠥
𒁔,12054,238,letter,DU9,⠙⠥⠔
𒁕,12055,238,letter,DU20,⠙⠥⠆⠴
𒁖,12056,238,letter,PAR3,⠏⠜⠒
