Character,Hex,Logic,Type,Name,Braille
ְ,05B0,187.0,letter,point sheva*,⠄
ֱ,05B1,188.0,letter,hataf segol,⠢
ֲ,05B2,188.0,letter,hataf patah,⠒
ֳ,05B3,185.0,letter,point hataf qamats*,⠜
ִי,05B4+05D9,201.0,always,point hiriq-yod,⠔
ִ,05B4,188.0,letter,point hiriq*,⠊
ֵי,05B5+05D9,188.0,always,point tsere-yod*,⠼
ֵ,05B5,185.0,letter,point tsere*,⠌
ֶ,05B6,185.0,letter,point segol*,⠑
ַ,05B7,185.0,letter,point patah*,⠉
ָ,05B8,185.0,letter,point qamats*,⠣
ֹ,05B9,185.0,letter,holam Malay *,⠸⠪
ֺ,05BA,188.0,letter,point holam haser ,⠕
ֻ,05BB,185.0,letter,point qubuts*,⠬
ּ,05BC,186.0,letter,dagesh,⠐
ֽ,05BD,185.0,letter,point meteg*,⠈
־,05BE,8.0,punctuation,maqaf,⠤
ֿ,05BF,8.0,letter,rafe*,⠘
׀,05C0,8.0,punctuation,punctuation paseq*,⠸
ׁ,05C1,8.0,letter,shin dot*,⠸⠈
ׂ,05C2,8.0,letter,sin dot*,⠸⠘
׃,05C3,8.0,punctuation,sof pasuq*,⠲
ׄ,05C4,8.0,letter,mark upper dot*,⠸⠐
ׅ,05C5,8.0,letter,mark lower dot*,⠸⠰
׆,05C6,8.0,letter,punctuation nun hafukha,⠸⠝
ׇ,05C7,8.0,letter,point qamats qatan*,⠣
׳,05F3,8.0,letter,punctuation geresh*,⠄
״,05F4,8.0,punctuation,punctuation gershayim*,⠴
א,05D0,8.0,letter,letter alef,⠁
בּ,05D1+05BC,8.0,always,bet with dagesh,⠃
בְּ,05D1+05B0+05BC,8.0,always,bet with dagesh sheva,⠃⠄
בּ,FB31,3.0,always,Bet with dagesh,⠃
בְּ,FB31+05B0,3.0,always,Bet with dagesh sheva,⠃⠄
ב,05D1,8.0,letter,bet,⠧
בֿ,05D1+05BF,9.0,always,bet with rafe,⠧
ג,05D2,8.0,letter,gimel,⠛
דּ,05D3+05BC,186.0,always,dalet with dagesh,⠐⠙
דְּ,05D3+05BC+05B0,186.0,always,dalet with dagesh sheva,⠐⠙⠄
ד,05D3,8.0,letter,letter dalet,⠙
הּ,05D4+05BC,8.0,always,hey  with dagesh,⠓
ה,05D4,8.0,letter,letter hey,⠓
וֹ,05D5+05B9,201.0,always,holam-vav*,⠪
וּ,05D5+05BC,201.0,always,shuruq,⠥
ּו,05BC+05D5,201.0,always,shuruq,⠥
ּוְ,05BC+05D5+05B0,201.0,always,Shuriq sheva,⠥⠄
ו,05D5,8.0,letter,vav,⠺
ז,05D6,8.0,letter,zayin,⠵
ח,05D7,8.0,letter,letter het,⠭
ט,05D8,8.0,letter,letter tet,⠞
יּ,05D9+05BC,186.0,always,Yod with dagesh,⠐⠚
יְּ,05D9+05BC+05B0,186.0,always,Yod with dagesh sheva,⠐⠚⠄
י,05D9,8.0,letter,letter yod,⠚
ך,05DA,214.0,noback letter,letter final kaf,⠡
ך׃,05DA+05C3,nofor always,final kaf with sof passuk,⠡⠲
ך.,05DA+002E,100,nofor always,final kaf with  period,⠡⠲
"ך,",05DA+002C,100,nofor always,final kaf with comma,⠡⠂
ך!,05DA+0021,100,nofor always,final kaf with exclamation mark,⠡⠖
ך?,05DA+003F,100,nofor always,final kaf with  question mark,⠡⠰⠦
ך),05DA+0029,100,nofor always,final kaf with  right parenthesis,⠡⠐⠜
ך”,05DA+201D,100,nofor always,final kaf with right quote,⠡⠴
ך",05DA+0022,100,nofor always,final kaf with quote,⠡⠠⠶
ךְ,05DA+05B0,100,nofor always,final kaf with sheva,⠡⠄
ך ,05DA+0020,nofor always,final kaf with  space,⠡ 
ך־,05DA+05BE,100,nofor always,final kaf with  Mediq,⠡⠤
