Character,Name,Hex,Logic,Type,Borger,Braille
𒀸,ac,12038,1,letter,ac,⠁⠉
𒍤𒆸,numun2,12364+121b8,238,always,numun2,⠝⠥⠍⠥⠝
𒄃,gil,12103,105,letter,gil,⠛⠊⠇
𒋺,kid2,122fa,103,letter,kid2,⠅⠊⠙
𒉫,Nun Crossing Nun,1226b,107,letter,Nun Crossing Nun,⠠⠝⠥⠝ ⠠⠉⠗⠕⠎⠎⠊⠝⠛ ⠠⠝⠥⠝
𒀸𒋩,accur,12038+122e9,238,always,accur,⠁⠉⠉⠥⠗
𒈾,na,1223e,110,letter,na,⠝⠁
𒊒,ru,12292,111,letter,ru,⠗⠥*
𒉡,nu,12261,112,letter,nu,⠝⠥
𒋓,cir,122d3,115,letter,cir,⠉⠊⠗
𒆰,numun,121b0,117,letter,numun,⠝⠥⠍⠥⠝
𒋾,ti,122fe,118,letter,ti,⠞⠊
𒁷,din,12077,119,letter,din,⠙⠊⠝
𒈮,mug,1222e,12,letter,mug,⠍⠥⠛*
𒈦,mac,12226,120,letter,mac,⠍⠁⠉
𒑏,ban₂,1244f,120,letter,ban₂,⠃⠁⠝
𒈦𒄘𒃼,idigna,12226+12118+120fc,120,always,idigna,⠊⠙⠊⠛⠝⠁
𒈦𒌋,gidim₂,12226+1230B,125,always,gidim2,⠛⠊⠙⠊⠍
𒈦𒌋𒌋,mash-man,12226+1230B+1230B,126,always,mash-man,⠍⠁⠎⠓⠤⠍⠁⠝
𒈯,zadim,1222f,13,letter,zadim,⠵⠁⠙⠊⠍
𒈧,mac2,12227,130,letter,mac2,⠍⠁⠉
𒄷𒋛,u5,12137+122db,133,always,u5,⠥⠢
𒉆,nam,12246,134,letter,nam,⠝⠁⠍
𒄷𒄭,mud,12137+1212d,126,always,mud,⠍⠥⠙
𒄷𒈿,sa4,12137+1223f,238,always,sa4,⠎⠁⠲
𒁀,ba,12040,14,letter,ba,⠃⠁
𒍣,zi,12363,140,letter,zi,⠵⠊
𒄀,gi,12100,141,letter,gi,⠛⠊
𒊑,ri,12291,142,letter,ri,⠗⠊
𒉣,nun,12263,143,letter,nun,⠝⠥⠝
𒉩,nun,12269,144,letter,nun,⠝⠥⠝
𒉣𒇬,tur3,12263+121ec,145,always,tur3,⠞⠥⠗⠒
𒉥,immal,12265,146,letter,immal,⠊⠍⠍⠁⠇
𒉦,cilam,12266,147,letter,cilam,⠉⠊⠇⠁⠍
𒆏,kab,1218f,148,letter,kab,⠅⠁⠃
𒍪,zu,1236a,15,letter,zu,⠵⠥
𒄽,hub,1213d,150,letter,hub,⠓⠥⠃
𒈽,muc2,1223d,152,letter,muc2,⠍⠥⠉
𒈹,muc3,12239,153,letter,muc3,⠍⠥⠉⠒
𒈻,sed,1223b,155,letter,sed,⠎⠑⠙
𒋺,Tak4,122fa,122,letter,Tak4,⠠⠞⠁⠅⠲
ȸ,120F0+122FA+12111,238,always,akkil,akkil,nan
𒋛,SI,122db,125,letter,SI,⠠⠎⠠⠊⠄
𒈀,su,12200,16,letter,su,⠎⠥
𒌢,umbin,12322,160,letter,umbin,⠥⠍⠃⠊⠝
𒋒,cinig,122d2,162,letter,cinig,⠉⠊⠝⠊⠛
𒃱,kinda,120f1,163,letter,kinda,⠅⠊⠝⠙⠁
𒂘𒂙,buru14,12098+12099,165,always,buru14,⠃⠥⠗⠥⠂⠲
𒁰,dar3,12070,166,letter,dar3,⠙⠁⠗⠒
𒊿,cen,122bf,17,letter,cen,⠉⠑⠝
𒋭,lal ,122ed,170,letter,lal3,⠇⠁⠇ 
𒊓,sa,12293,172,letter,sa,⠎⠁
𒀿,acgab,1203f,173,letter,acgab,⠁⠉⠛⠁⠃
𒃸,gan2,120f8,174,letter,gan2,⠛⠁⠝
𒄛,usan,1211b,177,letter,usan,⠥⠎⠁⠝
𒄘,gun,12118,179,letter,gun,⠛⠥⠝
𒌦,Un,12326,111,letter,Un,⠠⠥⠝
