Character(decimal),Decimal,Character(hex),Hex,Type,Name,Braille
𐎀,66432,𐎀,10380,letter,UGARITIC LETTER ALPA,⠁
𐎁,66433,𐎁,10381,letter,UGARITIC LETTER BETA,⠃
𐎂,66434,𐎂,10382,letter,UGARITIC LETTER GAMLA,⠛
𐎃,66435,𐎃,10383,letter,UGARITIC LETTER KHA,⠡
𐎄,66436,𐎄,10384,letter,UGARITIC LETTER DELTA,⠙
𐎅,66437,𐎅,10385,letter,UGARITIC LETTER HO,⠓
𐎆,66438,𐎆,10386,letter,UGARITIC LETTER WO,⠺
𐎇,66439,𐎇,10387,letter,UGARITIC LETTER ZETA,⠵
𐎈,66440,𐎈,10388,letter,UGARITIC LETTER HOTA,⠭
𐎉,66441,𐎉,10389,letter,UGARITIC LETTER TET,⠐⠞
𐎊,66442,𐎊,1038A,letter,UGARITIC LETTER YOD,⠽
𐎋,66443,𐎋,1038B,letter,UGARITIC LETTER KAF,⠅
𐎌,66444,𐎌,1038C,letter,UGARITIC LETTER SHIN,⠩
𐎍,66445,𐎍,1038D,letter,UGARITIC LETTER LAMDA,⠇
𐎎,66446,𐎎,1038E,letter,UGARITIC LETTER MEM,⠍
𐎏,66447,𐎏,1038F,letter,UGARITIC LETTER DHAL,⠰⠙
𐎐,66448,𐎐,10390,letter,UGARITIC LETTER NUN,⠝
𐎑,66449,𐎑,10391,letter,UGARITIC LETTER ZU,⠐⠵
𐎒,66450,𐎒,10392,letter,UGARITIC LETTER SAMKA,⠯
𐎓,66451,𐎓,10393,letter,UGARITIC LETTER AIN,⠫
𐎔,66452,𐎔,10394,letter,UGARITIC LETTER PU,⠏
𐎕,66453,𐎕,10395,letter,UGARITIC LETTER SADE,⠐⠎
𐎖,66454,𐎖,10396,letter,UGARITIC LETTER QOPA,⠟
𐎗,66455,𐎗,10397,letter,UGARITIC LETTER RASHA,⠗
𐎘,66456,𐎘,10398,letter,UGARITIC LETTER THANNA,⠹
𐎙,66457,𐎙,10399,letter,UGARITIC LETTER GHAIN,⠘⠌⠛
𐎚,66458,𐎚,1039A,letter,UGARITIC LETTER TO,⠞
𐎛,66459,𐎛,1039B,letter,UGARITIC LETTER I,⠊
𐎜,66460,𐎜,1039C,letter,UGARITIC LETTER U,⠥
𐎝,66461,𐎝,1039D,letter,UGARITIC LETTER SSU,⠎⠳
𐎟,66463,𐎟,1039F,punctuation,UGARITIC WORD DIVIDER,⠤
